t,zx,zy,xhat,yhat,vxhat,vyhat
7.0000,59.6000,59.5793,60.1880,58.9861,-1.9520,1.5539
7.0200,60.9128,53.4202,60.7982,54.2597,-1.7610,0.1547
7.0400,63.1692,59.5407,62.8083,58.7490,-1.1595,1.4742
7.0600,60.1398,52.6736,60.5366,53.5893,-1.8208,-0.0521
7.0800,60.0555,56.5795,60.1222,56.1308,-1.9320,0.6957
7.1000,60.8109,55.1105,60.7018,55.2656,-1.7501,0.4372
7.1200,59.6307,56.4538,59.7861,56.2768,-2.0092,0.7320
7.1400,60.7205,54.6906,60.5743,54.9307,-1.7655,0.3318
7.1600,59.8262,55.9092,59.9332,55.7634,-1.9437,0.5747
7.1800,64.2912,55.4701,63.6317,55.5158,-0.8445,0.4985
7.2000,62.2468,54.9654,62.4520,55.0494,-1.1865,0.3584
7.2200,60.3697,54.3543,60.6785,54.4597,-1.7011,0.1829
7.2400,62.7125,57.1519,62.4023,56.7486,-1.1841,0.8550
7.2600,62.7284,54.8662,62.6760,55.1512,-1.0967,0.3802
7.2800,61.2033,51.6550,61.4209,52.1806,-1.4593,-0.4958
7.3000,60.3658,51.8857,60.5197,51.9285,-1.7158,-0.5670
7.3200,58.2326,52.8088,58.5705,52.6751,-2.2790,-0.3441
7.3400,58.0842,54.8981,58.1503,54.5636,-2.3892,0.2134
7.3600,57.1597,57.7247,57.3011,57.2512,-2.6249,1.0026
7.3800,62.2727,52.0175,61.5191,52.8056,-1.3689,-0.3108
7.4000,58.0158,56.4922,58.5372,55.9383,-2.2379,0.6124
7.4200,61.7428,52.0903,61.2552,52.6694,-1.4253,-0.3527
7.4400,59.4919,56.4811,59.7521,55.9083,-1.8590,0.6020
7.4600,63.2636,57.1299,62.7313,56.9485,-0.9718,0.9044
7.4800,59.8621,54.5880,60.2895,54.9448,-1.6843,0.3098
7.5000,62.4804,50.5115,62.1467,51.1774,-1.1281,-0.8001
7.5200,65.4251,54.8742,64.9299,54.3173,-0.3029,0.1281
7.5400,58.3300,54.4601,59.3191,54.4390,-1.9514,0.1632
