t,steer_rad,accel,v_ref,cte,wp_idx
8.7200,0.315087,1.407821,8.0000,1.3461,1
8.7400,0.314681,1.407821,8.0000,1.1917,1
8.7600,0.314237,1.407821,8.0000,1.0379,1
8.7800,-0.497928,1.407821,8.0000,1.5702,2
8.8000,0.128028,1.407821,8.0000,1.5343,1
8.8200,0.127842,1.407821,8.0000,1.3762,1
8.8400,0.287700,1.407821,8.0000,1.8382,1
8.8600,0.287403,1.407821,8.0000,1.6872,1
8.8800,0.287081,1.407821,8.0000,1.5370,1
8.9000,0.286731,1.407821,8.0000,1.3879,1
8.9200,-0.438365,1.407821,8.0000,1.6114,2
8.9400,-0.114941,1.407821,8.0000,1.7783,1
8.9600,-0.203772,1.407821,8.0000,1.3500,1
8.9800,0.156401,1.407821,8.0000,1.4583,1
9.0000,-0.228807,1.407821,8.0000,1.1168,1
9.0200,0.004229,1.407821,8.0000,1.1383,1
9.0400,-0.524478,1.407821,8.0000,1.8707,2
9.0600,-0.219948,1.407821,8.0000,1.7392,2
9.0800,0.438607,1.407821,8.0000,1.4797,1
9.1000,0.219708,1.407821,8.0000,1.9086,1
9.1200,0.020599,1.407821,8.0000,1.7510,1
9.1400,-0.558505,1.407821,8.0000,1.1426,1
9.1600,-0.342418,1.407821,8.0000,1.0000,1
9.1800,-0.341984,1.407821,8.0000,1.8609,2
9.2000,-0.341508,1.407821,8.0000,1.7239,2
9.2200,-0.340985,1.407821,8.0000,1.5893,2
9.2400,-0.317730,1.407821,8.0000,1.4576,1
9.2600,-0.069164,1.407821,8.0000,1.3300,1
9.2800,0.320359,1.407821,8.0000,1.2920,1
9.3000,0.126494,1.407821,8.0000,1.1322,1
9.3200,0.445478,1.407821,8.0000,1.6945,1
9.3400,0.324199,1.407821,8.0000,1.5608,1
9.3600,0.249070,1.407821,8.0000,1.4306,1
9.3800,-0.247458,1.407821,8.0000,1.4534,1
9.4000,0.094841,1.407821,8.0000,1.7340,1
9.4200,0.539176,1.407821,8.0000,1.5781,1
9.4400,0.273503,1.407821,8.0000,1.4216,1
9.4600,0.080727,1.407821,8.0000,1.2654,1
9.4800,0.287899,1.407821,8.0000,1.1100,1
9.5000,0.064911,1.407821,8.0000,1.7737,2
9.5200,-0.531587,1.407821,8.0000,1.5270,1
9.5400,-0.459788,1.407821,8.0000,1.4197,1
9.5600,0.164320,1.407821,8.0000,1.9078,1
9.5800,-0.244298,1.407821,8.0000,1.1423,1
9.6000,-0.243977,-3.421046,6.6960,1.9591,2
9.6200,0.396528,3.500000,8.0000,1.4699,1
9.6400,0.396113,1.233062,8.0000,1.3289,1
9.6600,0.395657,1.404114,8.0000,1.1906,1
9.6800,-0.072415,-3.500000,6.4538,1.7004,1
9.7000,-0.072288,3.500000,8.0000,1.5419,1
9.7200,0.191794,1.224686,8.0000,1.3821,1
9.7400,-0.211262,1.399686,8.0000,1.2222,1
9.7600,-0.489159,-3.500000,6.0714,1.8897,2
9.7800,-0.488645,2.711775,6.9839,1.7755,2
9.8000,-0.157314,-3.041816,6.1484,1.6476,2
9.8200,0.494848,-3.500000,4.9160,2.0058,1
