t,steer_rad,accel,v_ref,cte,wp_idx
6.5600,0.000000,0.663887,5.2000,27.1375,1
6.5800,0.000000,0.663887,5.2000,27.2414,1
6.6000,0.000000,0.663887,5.2000,27.3452,1
6.6200,0.000000,0.663887,5.2000,27.4490,1
6.6400,0.000000,0.663887,5.2000,27.5528,1
6.6600,0.000000,0.663887,5.2000,27.6567,1
6.6800,0.000000,0.663887,5.2000,27.7605,1
6.7000,0.000000,0.663887,5.2000,27.8644,1
6.7200,0.000000,0.663887,5.2000,27.9682,1
6.7400,0.000000,0.663887,5.2000,28.0720,1
6.7600,0.000000,0.663887,5.2000,28.1759,1
6.7800,0.000000,0.663887,5.2000,28.2797,1
6.8000,0.000000,0.663887,5.2000,28.3835,1
6.8200,0.000000,0.663887,5.2000,28.4874,1
6.8400,0.000000,0.663887,5.2000,28.5912,1
6.8600,0.000000,0.663887,5.2000,28.6951,1
6.8800,0.000000,0.663887,5.2000,28.7989,1
6.9000,0.000000,0.663887,5.2000,28.9028,1
6.9200,0.000000,0.663887,5.2000,29.0066,1
6.9400,0.000000,0.663887,5.2000,29.1105,1
6.9600,0.000000,0.663887,5.2000,29.2143,1
6.9800,0.000000,0.663887,5.2000,29.3182,1
7.0000,0.000000,0.663887,5.2000,29.4220,1
7.0200,0.000000,0.663887,5.2000,29.5259,1
7.0400,0.000000,0.663887,5.2000,29.6297,1
7.0600,0.000000,0.663887,5.2000,29.7336,1
7.0800,0.000000,0.663887,5.2000,29.8374,1
7.1000,0.000000,0.663887,5.2000,29.9413,1
7.1200,0.000000,0.663887,5.2000,30.0452,1
7.1400,0.000000,0.663887,5.2000,30.1490,1
7.1600,0.000000,0.663887,5.2000,30.2529,1
7.1800,0.000000,0.663887,5.2000,30.3567,1
7.2000,0.000000,0.663887,5.2000,30.4606,1
7.2200,0.000000,0.663887,5.2000,30.5645,1
7.2400,0.000000,0.663887,5.2000,30.6683,1
7.2600,0.000000,0.663887,5.2000,30.7722,1
7.2800,0.000000,0.663887,5.2000,30.8761,1
7.3000,0.000000,0.663887,5.2000,30.9799,1
7.3200,0.000000,0.663887,5.2000,31.0838,1
7.3400,0.000000,0.663887,5.2000,31.1877,1
7.3600,0.000000,0.663887,5.2000,31.2915,1
7.3800,0.000000,0.663887,5.2000,31.3954,1
7.4000,0.000000,0.663887,5.2000,31.4993,1
7.4200,0.000000,0.663887,5.2000,31.6031,1
7.4400,0.000000,0.663887,5.2000,31.7070,1
7.4600,0.000000,0.663887,5.2000,31.8109,1
7.4800,0.000000,0.663887,5.2000,31.9148,1
7.5000,0.000000,0.663887,5.2000,32.0186,1
7.5200,0.000000,0.663887,5.2000,32.1225,1
7.5400,0.000000,0.663887,5.2000,32.2264,1
7.5600,0.000000,0.663887,5.2000,32.3303,1
7.5800,0.000000,0.663887,5.2000,32.4342,1
7.6000,0.000000,0.663887,5.2000,32.5380,1
7.6200,0.000000,0.663887,5.2000,32.6419,1
7.6400,0.000000,0.663887,5.2000,32.7458,1
7.6600,0.000000,0.663887,5.2000,32.8497,1
7.6800,0.000000,0.663887,5.2000,32.9536,1
